id,migration,batch
1,2014_10_12_100000_create_password_resets_table,1
2,2021_05_30_142659_create_dosens_table,1
3,2021_05_30_154252_create_mahasiswas_table,1
4,2021_05_30_155037_create_jadwals_table,1
5,2021_05_31_170404_create_permission_tables,1
6,2021_06_01_092935_create_admins_table,1
7,2021_06_01_115533_create_matkuls_table,1
8,2021_06_19_155329_create_kelas_table,1
9,2021_06_24_143650_create_fakultas_table,1
10,2021_06_24_144427_create_dosen_matkul,1
11,2021_06_27_151139_create_dosen_kelas_table,1
12,2021_07_08_104748_create_materis_table,1
13,2021_07_25_210355_create_tugas_table,1
14,2021_08_23_155644_create_absens_table,1
15,2021_11_13_153805_create_nilai_tugas_table,1
16,2023_08_04_151836_create_fakultas_matkul_table,1